left_out,total_return,cagr,vol_annual,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,avg_holding_days
(none),0.06683220086663444,0.008770325757193831,0.01191306448375579,0.7389347328873075,0.2794344540470336,-0.012297179880016662,0.7131981350818418,1.0,1,1.0,1867.0
MU,0.08429919880144365,0.010984008972353632,0.01294754671303977,0.8501860507174781,0.3495464695191355,-0.01382922488034688,0.7942606376994659,1.0,1,1.0,1867.0
AVGO,0.07408419671752653,0.009693187399351322,0.013343044681707581,0.729623138000483,0.2625788141046309,-0.014384232029488242,0.6738759065815892,1.0,1,1.0,1867.0
MRVL,-0.0019236672953809597,-0.00025986500788555134,0.0038642790425702477,-0.0653153842406592,-0.00820472734961817,-0.00964716948023936,-0.026936917446909386,1.0,1,0.0,1867.0
GOOGL,0.07274803640265382,0.009523558564657364,0.013388463394864809,0.714643617849957,0.26574753428662684,-0.01561033765407327,0.6100802414208089,1.0,1,1.0,1867.0
NVDA,0.074036543921292,0.009687140899511837,0.013396426279845872,0.7263219656604311,0.2687733032269561,-0.01382922488034699,0.7004832869034071,1.0,1,1.0,1867.0
AMD,0.07712679285549151,0.010078772414425785,0.013391715286590685,0.7555320112342534,0.2778941713507096,-0.01382922488034699,0.7288024095080662,1.0,1,1.0,1867.0
ARM,0.07420798947750118,0.009708893953638276,0.013395988200953512,0.7279535947312261,0.27370157739663326,-0.013829224880346769,0.7020562640091239,1.0,1,1.0,1867.0
QQQ,0.07449454811747791,0.009745245880096842,0.01339030126859422,0.7309458313039353,0.27612731770887927,-0.014007679789506788,0.6957073567170665,1.0,1,1.0,1867.0
SPY,0.07444028737840869,0.009738363177336673,0.013389858439310785,0.7304604785796234,0.275934841682597,-0.014057471267840516,0.6927535537358892,1.0,1,1.0,1867.0
